TripID,Jounery_Date,From_Station,To_Station,Distance_km,Fare,Cost_per_passenger,Passengers,Ticket_Type,Remarks
40010,2022-12-05,NEW DELHI,NOIDA CITY CENTRE,0.63,131.06,104.38,14,Smart Card,maintenance
66017,2022-07-25,MANDI HOUSE,NETAJI SUBHASH PLACE,4.15,38.87,112.43,22,Tourist Card,weekend
50464,2024-06-07,NOIDA CITY CENTRE,JANAKPURI WEST,4.31,87.49,7.8100000000000005,17,Tourist Card,festival
29065,2023-03-07,NEW DELHI,NETAJI SUBHASH PLACE,2.16,90.06,42.49,12,Smart Card,weekend
34966,2024-11-09,KALKAJI MANDIR,JASOLA VIHAR,1.26,129.01,103.45,17,Smart Card,off-peak
16623,2023-04-09,MODEL TOWN,PUNJABI BAGH,4.8,90.49,7.86,26,Smart Card,maintenance
119291,2022-12-01,CENTRAL SECRETARIAT,KALKAJI MANDIR,8.38,170.24,89.74,26,Tourist Card,peak
86409,2024-12-14,MODEL TOWN,AIIMS,0.72,192.6,105.61,20,Single,festival
124009,2024-12-27,NOIDA CITY CENTRE,KASHMERE GATE,3.31,185.75,8.16,22,Single,festival
85461,2022-10-21,AIIMS,LAXMI NAGAR,5.85,40.3,58.28,24,Tourist Card,festival
34258,2023-02-13,JANAKPURI WEST,RAJOURI GARDEN,3.29,43.08,90.13,21,Tourist Card,festival
50692,2022-01-31,NOIDA CITY CENTRE,PUNJABI BAGH,1.1,158.45,17.02,14,Tourist Card,maintenance
10673,2022-08-13,RAJIV CHOWK,CHANDNI CHOWK,5.38,199.83,6.75,28,Smart Card,maintenance
144167,2022-11-05,AIIMS,KIRTI NAGAR,5.47,132.79,12.09,22,Single,festival
7322,2023-08-06,DILSHAD GARDEN,KALKAJI MANDIR,2.03,128.58,97.65,22,Tourist Card,peak
15111,2024-04-18,CHANDNI CHOWK,JANAKPURI WEST,12.13,183.45,101.06,22,Tourist Card,festival
129697,2024-09-19,RAJIV CHOWK,JASOLA VIHAR,5.11,127.95,49.57,13,Tourist Card,maintenance
83565,2022-02-09,INDERLOK,CHANDNI CHOWK,2.42,49.64,68.54,19,Single,festival
119867,2023-02-27,RAJIV CHOWK,RAJIV CHOWK,8.16,98.78,89.39,26,Tourist Card,off-peak
133770,2024-03-06,KASHMERE GATE,SHIVAJI PARK,4.01,196.0,11.6,21,Smart Card,festival
146286,2024-11-26,HAUZ KHAS,KALKAJI MANDIR,10.64,127.99,109.86,22,Single,off-peak
84222,2023-04-07,KASHMERE GATE,OLD DELHI,5.98,90.37,79.09,20,Tourist Card,festival
118,2022-07-24,AIIMS,KASHMERE GATE,3.46,61.14,92.04,21,Tourist Card,peak
71202,2023-01-28,KASHMERE GATE,SHIVAJI PARK,3.27,84.95,47.51,21,Single,weekend
84950,2022-06-06,RAJIV CHOWK,MODEL TOWN,0.55,169.45,28.18,16,Tourist Card,peak
52889,2024-01-31,CENTRAL SECRETARIAT,NEW DELHI,26.05,14.59,66.41,22,Smart Card,off-peak
13859,2023-07-29,CHANDNI CHOWK,AIIMS,1.06,193.26,112.8,22,Tourist Card,peak
136207,2022-06-12,RAJOURI GARDEN,CHANDNI CHOWK,4.04,95.71,22.34,16,Tourist Card,off-peak
22935,2023-11-08,NOIDA CITY CENTRE,RAJOURI GARDEN,5.4,134.64,28.36,23,Tourist Card,festival
133891,2023-01-24,NOIDA CITY CENTRE,PUNJABI BAGH,9.01,40.85,85.3,22,Tourist Card,off-peak
56198,2023-12-17,KASHMERE GATE,KIRTI NAGAR,1.22,193.09,29.88,15,Single,off-peak
130665,2022-10-11,JASOLA VIHAR,CHANDNI CHOWK,11.94,124.48,75.62,16,Single,festival
87519,2022-03-27,JANAKPURI WEST,KIRTI NAGAR,7.51,130.89,75.05,18,Smart Card,off-peak
16603,2024-01-19,RAJIV CHOWK,DILSHAD GARDEN,9.78,84.59,86.89,12,Tourist Card,maintenance
105029,2024-09-28,MANDI HOUSE,MANDI HOUSE,7.0,150.89,79.82,22,Tourist Card,festival
13217,2022-12-10,RAJIV CHOWK,KASHMERE GATE,9.08,138.15,38.38,16,Smart Card,peak
38883,2024-05-14,RAJIV CHOWK,LAXMI NAGAR,11.04,150.69,28.81,21,Smart Card,peak
73884,2022-10-15,RAJIV CHOWK,KIRTI NAGAR,8.22,44.63,96.72,16,Single,festival
17654,2024-07-03,RAJIV CHOWK,NOIDA CITY CENTRE,0.65,168.45,99.67,20,Tourist Card,peak
142822,2023-11-18,RAJIV CHOWK,KALKAJI MANDIR,4.18,135.7,6.28,20,Tourist Card,weekend
84865,2024-01-20,RAJOURI GARDEN,DILSHAD GARDEN,1.76,158.65,100.31,14,Tourist Card,weekend
117264,2023-11-23,KALKAJI MANDIR,OLD DELHI,8.12,148.49,90.07,20,Single,peak
34411,2023-11-18,KASHMERE GATE,RAJIV CHOWK,1.67,190.07,100.65,13,Tourist Card,festival
117837,2024-07-19,KALKAJI MANDIR,JANAKPURI WEST,6.65,20.69,111.66,18,Smart Card,maintenance
7417,2022-11-30,LAXMI NAGAR,KASHMERE GATE,10.69,53.44,22.08,18,Tourist Card,festival
17710,2022-04-21,MANDI HOUSE,MANDI HOUSE,9.16,175.99,48.65,8,Single,off-peak
136253,2022-04-13,RAJIV CHOWK,INDERLOK,4.01,27.29,45.06,18,Smart Card,weekend
26211,2024-05-12,MANDI HOUSE,NOIDA CITY CENTRE,12.21,55.87,68.75,16,Tourist Card,festival
39345,2022-03-25,NEW DELHI,OLD DELHI,3.21,113.92,107.0,19,Tourist Card,off-peak
116700,2023-04-29,NEW DELHI,KIRTI NAGAR,3.81,35.54,13.54,20,Tourist Card,weekend
95048,2023-09-18,NOIDA CITY CENTRE,RAJOURI GARDEN,3.47,48.37,77.96,15,Single,peak
111110,2024-05-28,RAJIV CHOWK,NETAJI SUBHASH PLACE,1.74,24.46,7.08,26,Single,off-peak
51157,2024-03-07,INDERLOK,JASOLA VIHAR,10.0,168.33,98.68,32,Tourist Card,peak
129331,2023-05-30,CHANDNI CHOWK,KASHMERE GATE,1.94,50.15,27.09,21,Tourist Card,festival
67234,2022-05-16,NOIDA CITY CENTRE,DILSHAD GARDEN,2.61,21.52,29.14,34,Tourist Card,weekend
115062,2023-01-11,NOIDA CITY CENTRE,RAJOURI GARDEN,2.49,160.42,29.97,18,Tourist Card,off-peak
17170,2022-10-24,RAJIV CHOWK,HAUZ KHAS,1.05,137.78,118.61,26,Smart Card,festival
125745,2024-02-08,NOIDA CITY CENTRE,SHIVAJI PARK,1.07,27.16,75.13,25,Tourist Card,festival
46673,2022-01-20,NOIDA CITY CENTRE,SHIVAJI PARK,6.86,88.46,43.89,22,Tourist Card,festival
149918,2022-07-14,INDERLOK,OLD DELHI,6.23,88.8,82.85,18,Tourist Card,off-peak
102439,2024-05-27,MANDI HOUSE,KALKAJI MANDIR,3.73,163.86,82.39,27,Tourist Card,festival
4891,2022-12-13,AIIMS,OLD DELHI,3.64,49.79,59.36,24,Tourist Card,maintenance
146811,2023-01-30,DILSHAD GARDEN,NEW DELHI,1.07,153.46,69.44,20,Single,festival
10141,2022-02-04,LAXMI NAGAR,DILSHAD GARDEN,2.7,59.42,89.7,22,Smart Card,festival
111238,2024-04-09,NOIDA CITY CENTRE,JASOLA VIHAR,3.9699999999999998,187.59,49.74,14,Tourist Card,festival
117339,2024-09-24,JASOLA VIHAR,JANAKPURI WEST,1.53,54.81,83.85,15,Single,maintenance
88469,2024-11-27,HAUZ KHAS,CHANDNI CHOWK,5.52,108.79,22.51,16,Single,maintenance
116628,2024-06-12,JANAKPURI WEST,BARAKHAMBA ROAD,5.89,163.85,33.32,21,Tourist Card,festival
113106,2023-09-11,NOIDA CITY CENTRE,RAJIV CHOWK,9.09,183.39,109.81,12,Tourist Card,weekend
57839,2022-08-24,RAJIV CHOWK,OLD DELHI,8.44,130.53,107.3,15,Single,festival
42458,2023-04-14,NOIDA CITY CENTRE,JANAKPURI WEST,1.55,142.31,20.99,19,Smart Card,maintenance
57005,2024-11-04,DILSHAD GARDEN,JASOLA VIHAR,4.53,198.09,28.94,16,Single,peak
27965,2023-05-31,MODEL TOWN,RAJIV CHOWK,3.21,104.8,74.85,33,Single,maintenance
141962,2023-01-15,RAJOURI GARDEN,KIRTI NAGAR,3.03,104.92,51.99,22,Smart Card,maintenance
29910,2022-09-08,INDERLOK,HAUZ KHAS,6.14,158.34,48.04,21,Tourist Card,maintenance
125078,2023-02-26,NOIDA CITY CENTRE,MANDI HOUSE,4.11,120.18,101.74,27,Tourist Card,festival
51213,2024-10-20,DILSHAD GARDEN,NEW DELHI,1.9500000000000002,129.57,28.72,20,Tourist Card,off-peak
109729,2024-08-16,CENTRAL SECRETARIAT,RAJOURI GARDEN,3.75,196.18,55.38,23,Tourist Card,festival
63781,2023-05-24,MANDI HOUSE,CHANDNI CHOWK,1.75,29.18,98.17,35,Smart Card,maintenance
8342,2023-08-31,NOIDA CITY CENTRE,CHANDNI CHOWK,0.7000000000000001,172.88,101.13,21,Single,peak
134181,2023-02-10,DILSHAD GARDEN,MANDI HOUSE,6.14,130.87,117.2,19,Smart Card,maintenance
140419,2024-08-04,MANDI HOUSE,KALKAJI MANDIR,1.58,145.99,83.36,18,Tourist Card,weekend
95547,2024-06-13,INDERLOK,AIIMS,6.83,134.82,82.44,13,Tourist Card,off-peak
119333,2022-07-16,MANDI HOUSE,PRAGATI MAIDAN,2.91,140.06,115.4,23,Smart Card,peak
18608,2022-07-07,MANDI HOUSE,MANDI HOUSE,1.72,109.35,104.19,22,Tourist Card,off-peak
148774,2024-02-26,HAUZ KHAS,KASHMERE GATE,8.42,40.76,111.74,23,Tourist Card,peak
31588,2024-08-06,CENTRAL SECRETARIAT,JANAKPURI WEST,1.9500000000000002,11.31,68.85,13,Tourist Card,off-peak
49188,2023-04-21,AIIMS,OLD DELHI,9.54,63.1,85.24,17,Tourist Card,peak
24258,2022-04-03,MANDI HOUSE,RAJIV CHOWK,2.31,197.57,17.36,31,Single,festival
82973,2023-10-24,JASOLA VIHAR,LAXMI NAGAR,3.0,136.88,52.3,11,Single,festival
140114,2024-01-19,MODEL TOWN,MANDI HOUSE,6.73,131.8,28.14,27,Tourist Card,peak
41592,2022-10-18,MANDI HOUSE,NOIDA CITY CENTRE,9.87,46.64,72.97,19,Tourist Card,weekend
25246,2022-09-23,CENTRAL SECRETARIAT,NOIDA CITY CENTRE,1.8399999999999999,154.91,87.39,27,Tourist Card,festival
8396,2024-02-10,RAJOURI GARDEN,NEW DELHI,0.8200000000000001,116.0,35.6,20,Tourist Card,off-peak
29319,2022-01-23,NEW DELHI,AIIMS,16.21,130.25,59.1,21,Tourist Card,festival
7704,2023-01-25,RAJIV CHOWK,NOIDA CITY CENTRE,1.57,44.91,49.02,20,Smart Card,festival
69358,2024-03-18,CHANDNI CHOWK,OLD DELHI,1.19,176.93,92.41,17,Tourist Card,peak
19079,2022-04-19,MODEL TOWN,BARAKHAMBA ROAD,2.65,185.74,108.86,12,Tourist Card,festival
55709,2023-10-30,KASHMERE GATE,NOIDA CITY CENTRE,5.53,65.96,49.46,18,Tourist Card,festival
147422,2023-05-17,INDERLOK,JASOLA VIHAR,8.0,113.12,93.73,25,Tourist Card,maintenance
104159,2022-04-10,INDERLOK,OLD DELHI,1.01,168.06,36.3,19,Tourist Card,maintenance
108569,2023-01-31,INDERLOK,CHANDNI CHOWK,3.89,188.44,76.68,13,Single,weekend
8960,2024-07-23,MANDI HOUSE,SHIVAJI PARK,3.67,199.77,110.02,11,Tourist Card,festival
73454,2023-08-05,NEW DELHI,PRAGATI MAIDAN,1.75,14.71,6.05,27,Tourist Card,off-peak
126236,2024-11-04,NEW DELHI,PUNJABI BAGH,3.99,77.26,46.13,24,Smart Card,maintenance
36738,2022-12-10,NEW DELHI,RAJIV CHOWK,2.32,143.86,62.86,26,Tourist Card,festival
19708,2023-05-24,NOIDA CITY CENTRE,RAJOURI GARDEN,2.55,139.78,68.43,25,Tourist Card,off-peak
89106,2024-08-07,RAJIV CHOWK,MANDI HOUSE,6.73,77.8,119.23,23,Tourist Card,maintenance
67266,2024-11-27,KASHMERE GATE,CENTRAL SECRETARIAT,8.3,22.0,31.74,15,Single,festival
24644,2023-10-14,LAXMI NAGAR,OLD DELHI,6.7,113.67,13.38,20,Tourist Card,weekend
20183,2024-09-25,HAUZ KHAS,CHANDNI CHOWK,2.24,187.22,77.76,23,Smart Card,peak
127042,2023-05-06,NOIDA CITY CENTRE,NEW DELHI,1.02,176.7,81.95,18,Tourist Card,off-peak
69080,2024-02-14,KASHMERE GATE,JANAKPURI WEST,1.57,88.17,54.33,12,Tourist Card,weekend
31814,2022-07-26,KALKAJI MANDIR,SHIVAJI PARK,6.21,67.18,42.22,16,Tourist Card,festival
30991,2022-08-03,RAJOURI GARDEN,PUNJABI BAGH,1.6600000000000001,181.81,18.7,27,Tourist Card,maintenance
143577,2022-02-18,CHANDNI CHOWK,KALKAJI MANDIR,1.6600000000000001,157.5,38.6,25,Smart Card,festival
133635,2023-05-01,KALKAJI MANDIR,MODEL TOWN,8.97,193.41,119.55,29,Smart Card,off-peak
261,2023-11-05,CHANDNI CHOWK,DILSHAD GARDEN,1.92,60.77,18.57,22,Single,peak
61986,2022-05-14,JASOLA VIHAR,KASHMERE GATE,22.54,133.67,64.49,14,Tourist Card,peak
54330,2022-10-04,RAJIV CHOWK,NOIDA CITY CENTRE,4.18,50.85,81.8,21,Tourist Card,off-peak
136099,2023-12-18,AIIMS,NETAJI SUBHASH PLACE,1.8900000000000001,42.41,11.93,15,Single,festival
58031,2023-08-06,DILSHAD GARDEN,NEW DELHI,2.77,96.33,8.12,17,Smart Card,festival
116582,2024-10-01,RAJIV CHOWK,NOIDA CITY CENTRE,1.56,33.08,35.8,18,Smart Card,peak
65758,2024-12-18,RAJIV CHOWK,RAJIV CHOWK,4.79,130.59,8.56,18,Single,peak
83358,2022-11-23,NOIDA CITY CENTRE,HAUZ KHAS,1.33,78.02,44.46,23,Tourist Card,weekend
18540,2024-03-11,MANDI HOUSE,RAJOURI GARDEN,4.09,51.07,111.28,19,Smart Card,festival
39224,2023-07-31,RAJIV CHOWK,SHIVAJI PARK,7.51,83.51,46.56,21,Single,festival
62550,2022-01-27,CHANDNI CHOWK,SHIVAJI PARK,4.24,141.52,47.02,16,Smart Card,maintenance
149344,2023-07-22,HAUZ KHAS,NOIDA CITY CENTRE,30.92,179.64,14.46,14,Tourist Card,peak
51818,2022-05-27,RAJIV CHOWK,KALKAJI MANDIR,2.56,188.27,58.73,16,Smart Card,maintenance
115987,2023-03-26,HAUZ KHAS,PUNJABI BAGH,6.46,184.2,59.13,26,Single,festival
41259,2024-01-02,NOIDA CITY CENTRE,OLD DELHI,2.34,27.29,6.2,21,Tourist Card,peak
110040,2024-12-13,JASOLA VIHAR,RAJIV CHOWK,3.21,179.93,24.82,15,Tourist Card,weekend
115290,2023-05-13,RAJIV CHOWK,DILSHAD GARDEN,3.37,39.23,119.46,21,Single,maintenance
120499,2023-10-30,LAXMI NAGAR,PRAGATI MAIDAN,3.73,132.18,55.27,31,Single,festival
99639,2024-05-24,MANDI HOUSE,JANAKPURI WEST,1.28,69.96,92.06,21,Single,festival
5955,2022-02-19,MANDI HOUSE,SHIVAJI PARK,3.9699999999999998,161.95,33.54,20,Tourist Card,festival
148288,2023-12-12,KALKAJI MANDIR,KIRTI NAGAR,0.6000000000000001,133.71,64.38,18,Tourist Card,off-peak
10396,2024-03-27,AIIMS,DILSHAD GARDEN,5.82,159.58,79.9,20,Smart Card,off-peak
107132,2022-06-19,DILSHAD GARDEN,INDERLOK,10.4,81.16,111.58,22,Smart Card,festival
99483,2022-05-23,NOIDA CITY CENTRE,HAUZ KHAS,0.6900000000000001,55.91,73.62,26,Tourist Card,maintenance
131103,2024-09-09,KASHMERE GATE,KALKAJI MANDIR,5.1,170.34,85.25,26,Tourist Card,festival
42167,2023-12-11,RAJIV CHOWK,PUNJABI BAGH,10.63,161.55,62.45,15,Tourist Card,weekend
104940,2022-02-12,RAJIV CHOWK,OLD DELHI,1.11,53.71,19.29,19,Tourist Card,festival
48838,2023-06-01,RAJIV CHOWK,NETAJI SUBHASH PLACE,18.14,138.25,29.1,27,Tourist Card,maintenance
98162,2024-11-10,KALKAJI MANDIR,RAJIV CHOWK,2.63,149.45,34.83,18,Tourist Card,festival
118819,2023-08-12,MANDI HOUSE,JANAKPURI WEST,1.87,69.04,80.23,15,Tourist Card,weekend
4879,2023-02-01,CENTRAL SECRETARIAT,MANDI HOUSE,1.6800000000000002,27.26,113.37,12,Tourist Card,festival
105105,2024-06-15,MODEL TOWN,JANAKPURI WEST,0.59,99.2,57.06,25,Tourist Card,off-peak
136069,2023-07-02,NOIDA CITY CENTRE,JANAKPURI WEST,6.87,196.4,77.59,9,Tourist Card,festival
97012,2024-06-22,KASHMERE GATE,LAXMI NAGAR,4.26,134.74,96.19,23,Tourist Card,weekend
43824,2022-03-30,AIIMS,NEW DELHI,4.76,78.24,23.9,22,Single,festival
91959,2023-11-17,MODEL TOWN,MANDI HOUSE,2.44,153.57,81.96,19,Single,festival
131783,2023-05-04,KALKAJI MANDIR,KASHMERE GATE,2.08,34.21,8.22,21,Smart Card,off-peak
127083,2023-03-02,RAJIV CHOWK,SHIVAJI PARK,8.14,100.59,76.54,19,Smart Card,off-peak
40207,2022-06-13,RAJOURI GARDEN,JASOLA VIHAR,11.46,178.71,55.61,15,Single,maintenance
22620,2022-10-19,INDERLOK,HAUZ KHAS,8.52,114.21,10.14,20,Smart Card,weekend
121046,2024-10-28,RAJIV CHOWK,MANDI HOUSE,0.74,120.81,23.29,21,Tourist Card,festival
114676,2023-08-28,MANDI HOUSE,SHIVAJI PARK,7.76,179.39,47.53,22,Tourist Card,festival
50069,2023-03-13,JASOLA VIHAR,OLD DELHI,2.49,174.43,97.98,16,Tourist Card,off-peak
120940,2024-08-19,NOIDA CITY CENTRE,HAUZ KHAS,18.36,110.38,30.15,17,Smart Card,off-peak
116662,2024-07-02,NOIDA CITY CENTRE,MANDI HOUSE,2.42,107.93,41.57,20,Tourist Card,festival
141702,2024-03-28,NOIDA CITY CENTRE,AIIMS,2.41,61.98,99.4,18,Tourist Card,festival
91980,2022-01-16,NEW DELHI,MODEL TOWN,0.6000000000000001,116.45,65.35,26,Single,festival
112845,2023-08-21,CENTRAL SECRETARIAT,LAXMI NAGAR,2.33,155.74,79.16,23,Tourist Card,festival
75103,2022-06-13,MODEL TOWN,AIIMS,3.69,58.54,84.22,25,Tourist Card,festival
72218,2022-11-14,AIIMS,NETAJI SUBHASH PLACE,1.07,58.54,43.73,19,Single,maintenance
103668,2022-07-22,NOIDA CITY CENTRE,LAXMI NAGAR,1.44,132.93,70.4,26,Tourist Card,off-peak
130711,2023-03-11,NEW DELHI,LAXMI NAGAR,1.52,60.21,90.1,20,Tourist Card,festival
65094,2024-03-31,AIIMS,JANAKPURI WEST,3.42,19.46,24.13,21,Single,festival
64068,2024-11-12,JANAKPURI WEST,CENTRAL SECRETARIAT,5.08,107.23,38.56,26,Smart Card,maintenance
123515,2022-07-13,RAJIV CHOWK,NEW DELHI,3.65,165.46,59.89,21,Smart Card,peak
116222,2024-08-11,RAJIV CHOWK,KIRTI NAGAR,2.89,115.58,8.26,20,Tourist Card,weekend
100595,2023-11-16,INDERLOK,KASHMERE GATE,15.32,155.04,53.8,20,Tourist Card,festival
96163,2023-12-22,RAJIV CHOWK,JANAKPURI WEST,0.61,35.53,43.1,13,Smart Card,maintenance
51514,2022-12-01,INDERLOK,RAJIV CHOWK,1.72,136.78,69.74,19,Smart Card,festival
136066,2023-04-08,AIIMS,PRAGATI MAIDAN,9.69,114.05,42.43,15,Single,weekend
70330,2022-10-25,NOIDA CITY CENTRE,KASHMERE GATE,0.65,112.39,59.14,27,Tourist Card,weekend
80236,2024-03-31,RAJIV CHOWK,PRAGATI MAIDAN,0.5700000000000001,184.21,63.09,18,Smart Card,weekend
60891,2022-06-30,RAJIV CHOWK,AIIMS,15.58,131.32,98.52,27,Smart Card,weekend
